index,cid,smiles,hepatotoxicity,score,set
97,2375,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1cc(C(F)(F)F)c(C#N)cc1,True,3.0,TRAIN
98,90311989,O=C(NCc1c(F)cc(F)cc1F)c1cn2C[C@H]3O[C@@H]4CC[C@@H](C4)N3C(=O)c2c(O)c1=O,True,3.0,TRAIN
99,10288191,Cn1cnc2c1cc(C(=O)NOCCO)c(Nc1c(F)cc(Br)cc1)c2F,True,3.0,TRAIN
100,171548,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,False,3.0,TRAIN
101,2381,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,False,3.0,TRAIN
102,2391,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,False,3.0,TEST
103,2405,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,True,3.0,TRAIN
104,10324367,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,True,3.0,TRAIN
105,387447,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1nccnc1)B(O)O,True,3.0,TRAIN
106,5328940,COc1c(Cl)cc(Cl)c(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c1,True,3.0,TRAIN
107,168928,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]12,False,3.0,TRAIN
108,135300399,CCCCSc1nn2c(-c3cnccc3)cc(-c3ccc(OC)cc3)nc2c1,False,3.0,TRAIN
109,92786,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,False,3.0,TEST
110,11978813,O=c1ccc2c(cc(OCCCCN3CCN(c4c5ccsc5ccc4)CC3)cc2)[nH]1,False,3.0,TRAIN
111,68165256,COc1c(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)ccc(N2CCC(N3CCN(C)CC3)CC2)c1,True,3.0,TRAIN
112,9837243,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,False,3.0,TEST
113,31101,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5c6c(c(Br)[nH]c6ccc5)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,True,3.0,VALIDATION
114,6834,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,False,3.0,TRAIN
115,5281004,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,False,3.0,TRAIN
116,2471,CCCCNc1c(Oc2ccccc2)c(S(N)(=O)=O)cc(C(=O)O)c1,True,3.0,VALIDATION
117,2474,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,True,3.0,VALIDATION
118,644073,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,True,3.0,TRAIN
119,2477,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,True,3.0,TRAIN
120,2478,CS(=O)(=O)OCCCCOS(C)(=O)=O,True,3.0,TRAIN
121,5361092,Oc1cc2c(cc1)C[C@H]1N(CC3CCC3)CC[C@@]23CCCC[C@@]13O,True,3.0,VALIDATION
122,9854073,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,False,3.0,TRAIN
123,25102847,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,True,3.0,TRAIN
124,2519,Cn1c(=O)c2c(ncn2C)n(C)c1=O,False,3.0,VALIDATION
125,2541,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2n[nH]nn2)cc1,True,3.0,TRAIN
126,9854012,CSCCNc1c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]3O)c2nc(SCCC(F)(F)F)n1,False,3.0,TRAIN
127,644019,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,False,3.0,TRAIN
128,60953,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,True,3.0,TRAIN
129,44093,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,True,3.0,TRAIN
130,2554,NC(=O)N1c2ccccc2C=Cc2ccccc21,True,3.0,TRAIN
131,34359,C[C@@](Cc1cc(O)c(O)cc1)(NN)C(=O)O,True,3.0,TRAIN
132,2564,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,False,3.0,TRAIN
133,11556711,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,True,3.0,TRAIN
134,121396,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,False,3.0,TRAIN
135,11154555,CN(C)C(=O)NC1CCC(CCN2CCN(c3c(Cl)c(Cl)ccc3)CC2)CC1,False,3.0,TRAIN
136,2576,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,False,3.0,TRAIN
137,2585,COc1ccccc1OCCNCC(O)COc1cccc2c1c1ccccc1[nH]2,True,3.0,TRAIN
138,9064,Oc1cc(O)c2C[C@H](O)[C@@H](c3cc(O)c(O)cc3)Oc2c1,True,3.0,TRAIN
139,62258,C[C@H](N)C(=O)c1ccccc1,True,3.0,TRAIN
140,5479529,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,True,3.0,TRAIN
141,2662,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,True,3.0,VALIDATION
142,11962412,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,True,3.0,TEST
143,57379345,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,True,3.0,TRAIN
144,2678,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,True,3.0,TRAIN
145,83898,C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1,True,3.0,TRAIN
146,10133,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,False,3.0,TRAIN
147,2708,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,True,3.0,TRAIN
148,5959,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,True,3.0,TRAIN
149,2710,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,False,3.0,TRAIN
150,2712,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,True,3.0,TRAIN
151,2719,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2ncc1,True,3.0,TEST
152,2720,NS(=O)(=O)c1c(Cl)cc2NC=NS(=O)(=O)c2c1,True,3.0,VALIDATION
153,2725,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,False,3.0,TRAIN
154,2726,CN(C)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,True,3.0,TRAIN
155,2727,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,True,3.0,TRAIN
156,2732,NS(=O)(=O)c1c(Cl)ccc(C2(O)NC(=O)c3ccccc32)c1,True,3.0,TRAIN
157,2733,O=c1[nH]c2c(ccc(Cl)c2)o1,True,3.0,TEST
158,5280795,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,False,3.0,TEST
159,221493,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,False,3.0,TRAIN
160,305,C[N+](C)(C)CCO,False,3.0,TRAIN
161,135263805,CCn1nnc2c1ccc([C@@H](CC(=O)O)c1cc3c(cc1)CCN(C(=O)c1c(C)c(C)cc(C)c1C)C3)c2C,True,3.0,VALIDATION
162,24766,CC(=O)N[C@@H]1[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H](OS(=O)(=O)O)O[C@H]1O,True,3.0,TEST
163,60613,Nc1nc(=O)n(C[C@@H](CO)OCP(=O)(O)O)cc1,True,3.0,TRAIN
164,2754,O=C1CCc2c(ccc(OCCCCc3nnnn3C3CCCCC3)c2)N1,True,3.0,TEST
165,2756,CN=C(NC#N)NCCSCc1c(C)[nH]cn1,True,3.0,TRAIN
166,6917698,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,False,3.0,TEST
167,2771,CN(C)CCCC1(c2ccc(F)cc2)OCc2c1ccc(C#N)c2,True,3.0,TRAIN
168,20279,Nc1c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2nc(Cl)n1,True,3.0,TEST
169,84029,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,True,3.0,TRAIN
170,5280980,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,True,3.0,TRAIN
171,446598,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,True,3.0,VALIDATION
172,2789,CN1C(=O)CC(=O)N(c2ccccc2)c2c1ccc(Cl)c2,False,3.0,TRAIN
173,119182,Nc1c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F)c2nc(Cl)n1,True,3.0,TRAIN
174,2794,CC(C)N=c1cc2-c(nc3ccccc3n2-c2ccc(Cl)cc2)cc1Nc1ccc(Cl)cc1,True,3.0,VALIDATION
175,2796,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,True,3.0,TRAIN
176,1548953,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,True,3.0,TRAIN
177,2801,CN(C)CCCN1c2ccccc2CCc2c1cc(Cl)cc2,True,3.0,TRAIN
178,2802,O=C1CN=C(c2ccccc2Cl)c2c(ccc([N+](=O)[O-])c2)N1,True,3.0,TRAIN
179,2803,Clc1cccc(Cl)c1NC1=NCCN1,True,3.0,TRAIN
180,60606,COC(=O)[C@H](c1ccccc1Cl)N1CCc2c(ccs2)C1,True,3.0,TRAIN
181,2809,O=C(O)C1N=C(c2ccccc2)c2c(ccc(Cl)c2)NC1=O,True,3.0,TEST
182,2812,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,True,3.0,TRAIN
183,6098,Cc1c(C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c(-c2ccccc2Cl)no1,True,3.0,TRAIN
184,135398737,CN1CCN(C2=Nc3c(ccc(Cl)c3)Nc3ccccc23)CC1,True,3.0,TRAIN
185,25151504,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,True,3.0,TRAIN
186,16222096,O=C(c1ccc(F)c(F)c1Nc1c(F)cc(I)cc1)N1CC(O)([C@@H]2CCCCN2)C1,True,3.0,VALIDATION
187,5284371,COc1c2O[C@H]3[C@@H](O)C=C[C@H]4[C@H]5Cc(c2[C@]43CCN5C)cc1,True,3.0,TRAIN
188,6167,COc1c(OC)c(OC)c2c(c1)CC[C@H](NC(C)=O)c1cc(=O)c(OC)ccc1-2,True,3.0,TRAIN
189,6440495,C/C=C(\C)C(=O)OC1CC[N+]2([O-])CC=C(COC(=O)C(O)(C(C)C)C(C)O)C12,True,3.0,TRAIN
190,135565596,COc1c(OCCCN2CCOCC2)ccc2c3NCCn3c(=NC(=O)c3cnc(N)nc3)nc12,False,3.0,VALIDATION
191,222786,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,False,3.0,TRAIN
